"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
820,1586,TS1,1,4,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
821,1587,TS2,2,52,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
822,1588,TS3,3,15,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
823,1589,TS4,4,24,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
824,1590,TS5,5,32,POST_DEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
825,1591,TS6,6,40,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
826,1592,TS7,7,60,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
827,1593,TS8,8,69,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
828,1594,TS9,9,77,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
829,1595,TS10,10,85,POST_DEPENDENT,"27",1,value1/nodetodetailcount1,avg_by_leafcount,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
830,1596,TS11,11,93,POST_DEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
831,1597,TS12,12,101,POST_DEPENDENT,"27",0,/* case when (value2) > 0 then */ value1 / value2 /* else */ 0 /* end */ ,xdividey,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
832,1598,TS13,13,109,POST_DEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
833,1599,TS14,14,117,POST_DEPENDENT,"27",0,value1 * value2 ,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
834,1600,TS15,15,125,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
835,1601,TS16,16,278,POST_DEPENDENT,"59",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
836,1602,TS17,17,395,POST_INDEPENDENT,"63",1,"Scenario(B,value1)",,0,PRODUCT~~CUSTOMER~~ALL~~ALL,,,0,0,0,0,,,1,125
837,1603,TS18,18,568,POST_DEPENDENT,"27",0,"Scenario(B,value1)",,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
838,1604,TS19,19,547,POST_DEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
839,1605,TS20,20,450,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
840,1606,TS21,21,460,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
841,1607,TS22,22,468,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
842,1608,TS23,23,476,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
843,1609,TS24,24,484,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
844,1610,TS25,25,492,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
845,1611,TS26,26,7,POST_INDEPENDENT,"65",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
846,1612,TS27,27,54,POST_INDEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
847,1613,TS28,28,17,POST_INDEPENDENT,"27",0,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
848,1614,TS29,29,26,POST_INDEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
849,1615,TS30,30,34,POST_INDEPENDENT,"63",1,value1 + value2 + value3,sum_xyz,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
850,1616,TS31,31,42,POST_DEPENDENT,"59",0,/* case when (value2) >  0 then */ value1 / value2 /*  else */ 0 /* end */,xdividey,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
851,1617,TS32,32,62,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
852,1618,TS33,33,71,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
853,1619,TS34,34,79,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
854,1620,TS35,35,87,POST_DEPENDENT,"63",1,value1+value2,xplusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
855,1621,TS36,36,95,POST_DEPENDENT,"27",1,/* case when (value2) > 0 then */ (value1) / value2 /* else */ 0 /* end */ ,xdividey,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
856,1622,TS37,37,103,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
857,1623,TS38,38,111,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
858,1624,TS39,39,119,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
859,1625,TS40,40,127,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
860,1626,TS41,41,313,POST_DEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
861,1627,TS42,42,399,POST_DEPENDENT,"27",1,"Scenario(A,value1)",,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
862,1628,TS43,43,422,POST_DEPENDENT,"27",0,value1 - (value2 * value3),xminusymultiz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
